PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
Kepler-27 c                   , 13.800,  0.437,     31.3,0.000, 90.0,  0.0,  0.0, 544.2, 457.6, 544.2, 457.6,  0.395,  0.501,  0.893,  0.942
Kepler-280 b                  ,       ,  0.129,      2.1,0.000, 90.0,  0.0,  0.0,1736.9,1460.5,1736.9,1460.5,  0.662,  0.838,  1.479,  1.560
Kepler-280 c                  ,       ,  0.179,      4.8,0.000, 90.0,  0.0,  0.0,1312.9,1104.0,1312.9,1104.0,  0.662,  0.838,  1.479,  1.560
Kepler-281 b                  ,       ,  0.252,     14.6,0.000, 90.0,  0.0,  0.0, 910.1, 765.3, 910.1, 765.3,  0.665,  0.842,  1.488,  1.569
Kepler-281 c                  ,       ,  0.474,     36.3,0.000, 90.0,  0.0,  0.0, 671.4, 564.5, 671.4, 564.5,  0.665,  0.842,  1.488,  1.569
Kepler-282 b                  ,       ,  0.090,      9.2,0.000, 90.0,  0.0,  0.0,1064.1, 894.8,1064.1, 894.8,  0.642,  0.813,  1.441,  1.520
Kepler-282 c                  ,       ,  0.107,     13.6,0.000, 90.0,  0.0,  0.0, 935.9, 787.0, 935.9, 787.0,  0.642,  0.813,  1.441,  1.520
Kepler-283 b                  ,       ,  0.190,     11.0,0.000, 90.0,  0.0,  0.0, 657.7, 553.1, 657.7, 553.1,  0.260,  0.329,  0.613,  0.646
Kepler-283 c                  ,       ,  0.162,     92.7,0.000, 90.0,100.0,100.0, 322.5, 271.2, 322.5, 271.2,  0.260,  0.329,  0.613,  0.646
Kepler-284 b                  ,       ,  0.200,     12.7,0.000, 90.0,  0.0,  0.0, 898.5, 755.5, 898.5, 755.5,  0.580,  0.734,  1.301,  1.372
Kepler-284 c                  ,       ,  0.233,     37.5,0.000, 90.0,  0.0,  0.0, 627.8, 527.9, 627.8, 527.9,  0.580,  0.734,  1.301,  1.372
Kepler-285 b                  ,       ,  0.120,      2.6,0.000, 90.0,  0.0,  0.0,1471.6,1237.5,1471.6,1237.5,  0.545,  0.690,  1.230,  1.298
Kepler-285 c                  ,       ,  0.100,      6.2,0.000, 90.0,  0.0,  0.0,1103.7, 928.1,1103.7, 928.1,  0.545,  0.690,  1.230,  1.298
Kepler-286 b                  ,       ,  0.111,      1.8,0.000, 90.0,  0.0,  0.0,1805.6,1518.4,1805.6,1518.4,  0.609,  0.772,  1.368,  1.443
Kepler-286 c                  ,       ,  0.122,      3.5,0.000, 90.0,  0.0,  0.0,1447.7,1217.4,1447.7,1217.4,  0.609,  0.772,  1.368,  1.443
Kepler-286 d                  ,       ,  0.119,      5.9,0.000, 90.0,  0.0,  0.0,1201.3,1010.2,1201.3,1010.2,  0.609,  0.772,  1.368,  1.443
Kepler-286 e                  ,       ,  0.158,     29.2,0.000, 90.0,  0.0,  0.0, 707.2, 594.7, 707.2, 594.7,  0.609,  0.772,  1.368,  1.443
Kepler-287 b                  ,       ,  0.208,     20.3,0.000, 90.0,  0.0,  0.0, 887.2, 746.1, 887.2, 746.1,  0.779,  0.987,  1.740,  1.835
Kepler-287 c                  ,       ,  0.291,     44.9,0.000, 90.0,  0.0,  0.0, 681.2, 572.8, 681.2, 572.8,  0.779,  0.987,  1.740,  1.835
Kepler-288 b                  ,       ,  0.149,      6.1,0.000, 90.0,  0.0,  0.0,1389.5,1168.4,1389.5,1168.4,  0.851,  1.078,  1.895,  1.998
Kepler-288 c                  ,       ,  0.254,     19.3,0.000, 90.0,  0.0,  0.0, 946.8, 796.2, 946.8, 796.2,  0.851,  1.078,  1.895,  1.998
Kepler-288 d                  ,       ,  0.238,     56.6,0.000, 90.0,  0.0,  0.0, 661.3, 556.1, 661.3, 556.1,  0.851,  1.078,  1.895,  1.998
Kepler-289 b                  ,  0.023,  0.192,     34.5,0.000, 90.0,  0.0,  0.0, 748.6, 629.5, 748.6, 629.5,  0.795,  1.007,  1.766,  1.863
Kepler-289 c                  ,  0.420,  1.034,    125.9,0.000, 90.0,  0.0,  0.0, 480.4, 404.0, 480.4, 404.0,  0.795,  1.007,  1.766,  1.863
Kepler-289 d                  ,  0.013,  0.239,     66.1,0.000, 90.0,  0.0,  0.0, 597.2, 502.2, 597.2, 502.2,  0.795,  1.007,  1.766,  1.863
Kepler-28 b                   ,  1.510,  0.321,      5.9,0.000, 90.0,  0.0,  0.0, 884.3, 743.6, 884.3, 743.6,  0.352,  0.446,  0.822,  0.867
Kepler-28 c                   ,  1.360,  0.303,      9.0,0.000, 90.0,  0.0,  0.0, 773.7, 650.6, 773.7, 650.6,  0.352,  0.446,  0.822,  0.867
Kepler-290 b                  ,       ,  0.201,     14.6,0.000, 90.0,  0.0,  0.0, 765.4, 643.6, 765.4, 643.6,  0.457,  0.579,  1.041,  1.098
Kepler-290 c                  ,       ,  0.241,     36.8,0.000, 90.0,  0.0,  0.0, 560.7, 471.5, 560.7, 471.5,  0.457,  0.579,  1.041,  1.098
Kepler-291 b                  ,       ,  0.193,      3.5,0.000, 90.0,  0.0,  0.0,1603.2,1348.1,1603.2,1348.1,  0.815,  1.032,  1.811,  1.910
Kepler-291 c                  ,       ,  0.168,      5.7,0.000, 90.0,  0.0,  0.0,1363.2,1146.3,1363.2,1146.3,  0.815,  1.032,  1.811,  1.910
Kepler-292 b                  ,       ,  0.118,      2.6,0.000, 90.0,  0.0,  0.0,1479.5,1244.1,1479.5,1244.1,  0.539,  0.682,  1.221,  1.288
Kepler-292 c                  ,       ,  0.131,      3.7,0.000, 90.0,  0.0,  0.0,1304.8,1097.2,1304.8,1097.2,  0.539,  0.682,  1.221,  1.288
Kepler-292 d                  ,       ,  0.199,      7.1,0.000, 90.0,  0.0,  0.0,1061.5, 892.6,1061.5, 892.6,  0.539,  0.682,  1.221,  1.288
Kepler-292 e                  ,       ,  0.238,     12.0,0.000, 90.0,  0.0,  0.0, 888.7, 747.3, 888.7, 747.3,  0.539,  0.682,  1.221,  1.288
Kepler-292 f                  ,       ,  0.210,     20.8,0.000, 90.0,  0.0,  0.0, 737.1, 619.9, 737.1, 619.9,  0.539,  0.682,  1.221,  1.288
Kepler-293 b                  ,       ,  0.274,     19.3,0.000, 90.0,  0.0,  0.0, 859.2, 722.5, 859.2, 722.5,  0.726,  0.920,  1.621,  1.709
Kepler-293 c                  ,       ,  0.342,     54.2,0.000, 90.0,  0.0,  0.0, 609.7, 512.7, 609.7, 512.7,  0.726,  0.920,  1.621,  1.709
Kepler-294 b                  ,       ,  0.158,      3.7,0.000, 90.0,  0.0,  0.0,1531.9,1288.2,1531.9,1288.2,  0.764,  0.968,  1.701,  1.794
Kepler-294 c                  ,       ,  0.242,      6.6,0.000, 90.0,  0.0,  0.0,1259.6,1059.2,1259.6,1059.2,  0.764,  0.968,  1.701,  1.794
Kepler-295 b                  ,       ,  0.109,     12.6,0.000, 90.0,  0.0,  0.0, 968.6, 814.5, 968.6, 814.5,  0.642,  0.813,  1.441,  1.520
Kepler-295 c                  ,       ,  0.104,     21.5,0.000, 90.0,  0.0,  0.0, 808.8, 680.1, 808.8, 680.1,  0.642,  0.813,  1.441,  1.520
Kepler-295 d                  ,       ,  0.121,     33.9,0.000, 90.0,  0.0,  0.0, 695.5, 584.9, 695.5, 584.9,  0.642,  0.813,  1.441,  1.520
Kepler-296 b                  ,       ,  0.144,     10.9,0.330, 90.0,  0.0,  0.0, 645.8, 543.0, 458.3, 385.4,  0.164,  0.208,  0.399,  0.420
Kepler-296 c                  ,       ,  0.178,      5.8,0.330, 90.0,  0.0,  0.0, 795.2, 668.7, 564.4, 474.6,  0.164,  0.208,  0.399,  0.420
Kepler-296 d                  ,       ,  0.186,     19.9,0.330, 90.0,  0.0,  0.0, 528.4, 444.3, 375.0, 315.4,  0.164,  0.208,  0.399,  0.420
Kepler-296 e                  ,       ,  0.136,     34.1,0.330, 90.0, 33.1, 63.3, 441.5, 371.3, 313.4, 263.5,  0.164,  0.208,  0.399,  0.420
Kepler-296 f                  ,       ,  0.161,     63.3,0.330, 90.0, 77.7,100.0, 359.4, 302.2, 255.1, 214.5,  0.164,  0.208,  0.399,  0.420
Kepler-297 b                  ,       ,  0.256,     38.9,0.000, 90.0,  0.0,  0.0, 663.4, 557.8, 663.4, 557.8,  0.659,  0.835,  1.479,  1.560
Kepler-297 c                  ,       ,  0.583,     74.9,0.000, 90.0,  0.0,  0.0, 533.1, 448.3, 533.1, 448.3,  0.659,  0.835,  1.479,  1.560
