PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
HD 40956 b                    ,  2.700,       ,    578.6,0.240,338.6,  0.0,  0.0, 836.9, 703.7, 655.2, 550.9,  5.352,  6.779, 12.334, 13.010
HD 40979 b                    ,  4.670,       ,    264.1,0.250, 90.0,  0.0, 28.1, 487.0, 409.5, 377.2, 317.2,  1.010,  1.279,  2.236,  2.358
HD 41004 A b                  ,  2.540,       ,    963.0,0.740, 97.0, 12.2, 17.0, 448.1, 376.8, 173.2, 145.7,  0.631,  0.800,  1.446,  1.526
HD 4113 b                     ,  1.560,       ,    526.6,0.903,317.7, 26.6, 36.2, 987.7, 830.6, 223.0, 187.5,  0.833,  1.055,  1.865,  1.967
HD 42012 b                    ,  1.600,       ,    857.5,0.200, 90.0,  0.0,  0.0, 242.8, 204.2, 198.2, 166.7,  0.551,  0.697,  1.243,  1.311
HD 4203 b                     ,  2.230,       ,    431.9,0.520, 90.0, 60.5, 74.5, 510.2, 429.0, 286.7, 241.1,  1.011,  1.280,  2.269,  2.394
HD 4203 c                     ,  2.170,       ,   6700.0,0.240,224.0,  0.0,  0.0, 166.4, 139.9, 130.2, 109.5,  1.011,  1.280,  2.269,  2.394
HD 4208 b                     ,  0.810,       ,    833.0,0.042,217.6,  0.0,  0.0, 239.5, 201.4, 229.6, 193.1,  0.627,  0.794,  1.403,  1.480
HD 42618 b                    ,  0.045,       ,    149.6,0.190,101.0,  0.0,  0.0, 491.9, 413.6, 405.8, 341.3,  0.745,  0.944,  1.666,  1.758
HD 4308 b                     ,  0.050,       ,     15.6,0.000, 90.0,  0.0,  0.0, 950.5, 799.3, 950.5, 799.3,  0.746,  0.944,  1.670,  1.761
HD 4313 b                     ,  1.927,       ,    356.2,0.147,102.0,  0.0,  0.0, 646.8, 543.9, 557.8, 469.0,  2.955,  3.743,  6.790,  7.162
HD 43197 b                    ,  0.600,       ,    327.8,0.830,251.0, 37.0, 51.6, 774.0, 650.9, 235.9, 198.4,  0.651,  0.825,  1.466,  1.546
HD 43691 b                    ,  2.550,       ,     37.0,0.080,292.7,  0.0,  0.0, 943.7, 793.6, 871.4, 732.7,  1.309,  1.658,  2.902,  3.061
HD 44219 b                    ,  0.580,       ,    472.3,0.610,147.4, 65.1, 76.7, 564.7, 474.9, 277.9, 233.7,  1.014,  1.284,  2.266,  2.390
HD 45184 b                    ,  0.038,       ,      5.9,0.070,145.8,  0.0,  0.0,1395.4,1173.4,1300.9,1093.9,  0.793,  1.005,  1.768,  1.865
HD 45184 c                    ,  0.028,       ,     13.1,0.070,162.0,  0.0,  0.0,1067.7, 897.8, 995.4, 837.0,  0.793,  1.005,  1.768,  1.865
HD 45350 b                    ,  1.790,       ,    963.6,0.778,343.4, 13.8, 19.0, 530.3, 445.9, 187.4, 157.6,  0.828,  1.049,  1.858,  1.959
HD 45364 b                    ,  0.187,       ,    226.9,0.168,162.6, 40.1, 87.9, 382.4, 321.5, 322.6, 271.3,  0.578,  0.732,  1.305,  1.376
HD 45364 c                    ,  0.658,       ,    342.9,0.097,  7.4,100.0,100.0, 319.8, 269.0, 290.1, 243.9,  0.578,  0.732,  1.305,  1.376
HD 45652 b                    ,  0.433,       ,     44.1,0.607,227.7,  0.0,  0.0, 967.3, 813.4, 478.4, 402.2,  0.613,  0.776,  1.390,  1.466
HD 46375 b                    ,  0.226,       ,      3.0,0.063,114.0,  0.0,  0.0,1457.0,1225.2,1367.9,1150.3,  0.557,  0.706,  1.263,  1.333
HD 47186 b                    ,  0.070,       ,      4.1,0.040, 90.0,  0.0,  0.0,1538.5,1293.7,1478.2,1243.0,  0.783,  0.992,  1.754,  1.850
HD 47186 c                    ,  0.351,       ,   1353.6,0.249, 26.0,  0.0, 10.1, 251.3, 211.3, 194.9, 163.9,  0.783,  0.992,  1.754,  1.850
HD 4732 b                     ,  2.370,       ,    360.2,0.130, 85.0,  0.0,  0.0, 645.8, 543.0, 566.7, 476.5,  3.089,  3.912,  7.091,  7.480
HD 4732 c                     ,  2.370,       ,   2732.0,0.230,118.0, 78.1,100.0, 349.1, 293.6, 276.2, 232.3,  3.089,  3.912,  7.091,  7.480
HD 47366 b                    ,  2.300,       ,    359.1,0.060,  6.1,  0.0,  0.0, 671.8, 564.9, 632.6, 531.9,  3.892,  4.930,  8.952,  9.442
HD 47366 c                    ,  1.880,       ,    682.8,0.100, 49.0,  0.0,  0.0, 553.4, 465.3, 500.6, 420.9,  3.892,  4.930,  8.952,  9.442
HD 47536 b                    ,  7.320,       ,    712.1,0.200,260.8,  0.0,  0.0, 984.7, 828.0, 804.0, 676.1, 10.941, 13.858, 25.718, 27.126
HD 4760 b                     , 13.900,       ,    434.0,0.230,265.0,  0.0,  0.0,1909.6,1605.7,1510.9,1270.5, 23.622, 29.921, 56.471, 59.564
HD 48265 b                    ,  1.525,       ,    778.5,0.211,308.3, 59.3,100.0, 378.7, 318.5, 305.7, 257.1,  1.408,  1.783,  3.149,  3.321
HD 4917 b                     ,  1.615,       ,    400.5,0.066,313.0,  0.0,  0.0, 590.3, 496.4, 552.5, 464.6,  2.736,  3.465,  6.323,  6.669
HD 49674 b                    ,  0.100,       ,      4.9,0.090, 90.0,  0.0,  0.0,1388.3,1167.4,1268.5,1066.7,  0.727,  0.921,  1.633,  1.722
HD 50499 b                    ,  1.636,       ,   2447.1,0.266,288.3,  0.0,  0.0, 242.4, 203.8, 184.5, 155.2,  1.108,  1.404,  2.457,  2.591
HD 50499 c                    ,  2.930,       ,   8619.9,0.000, 23.0,  0.0,  0.0, 135.4, 113.8, 135.4, 113.8,  1.108,  1.404,  2.457,  2.591
HD 50554 b                    ,  4.954,       ,   1293.0,0.501, 90.0, 23.7, 26.3, 331.9, 279.1, 191.4, 160.9,  0.874,  1.107,  1.941,  2.048
HD 51608 b                    ,  0.040,       ,     14.1,0.090,117.4,  0.0,  0.0, 927.2, 779.7, 847.2, 712.4,  0.581,  0.735,  1.313,  1.385
HD 51608 c                    ,  0.045,       ,     95.9,0.140,194.9,  0.0,  0.0, 502.9, 422.9, 436.8, 367.3,  0.581,  0.735,  1.313,  1.385
HD 52265 b                    ,  1.210,       ,    119.3,0.270,242.0,  0.0,  0.0, 624.9, 525.5, 473.8, 398.4,  0.992,  1.257,  2.197,  2.318
HD 5319 b                     ,  1.556,       ,    637.1,0.092,158.0,  0.0,  0.0, 471.3, 396.3, 429.8, 361.4,  2.274,  2.881,  5.241,  5.528
HD 5319 c                     ,  1.053,       ,    872.2,0.183,244.0,  0.0,  8.5, 448.1, 376.8, 372.4, 313.2,  2.274,  2.881,  5.241,  5.528
HD 55696 b                    ,  3.870,       ,   1827.0,0.705,137.0, 12.6, 18.0, 438.0, 368.3, 182.2, 153.2,  1.214,  1.537,  2.696,  2.843
HD 5583 b                     ,  5.780,       ,    139.4,0.076, 12.0,  0.0,  0.0,1195.8,1005.5,1108.1, 931.8,  5.038,  6.382, 11.630, 12.267
HD 5608 b                     ,  1.681,       ,    779.9,0.056,294.0,  0.0,  0.0, 472.0, 396.9, 446.3, 375.3,  2.886,  3.655,  6.648,  7.012
HD 564 b                      ,  0.330,       ,    492.3,0.096,314.0,100.0,100.0, 326.5, 274.6, 296.5, 249.4,  0.785,  0.995,  1.748,  1.844
HD 5891 b                     ,  7.630,       ,    177.1,0.070, 90.0,  0.0,  0.0,1132.8, 952.6,1056.1, 888.1,  5.532,  7.007, 12.856, 13.560
HD 59686 A b                  ,  6.920,       ,    299.4,0.050,121.0,  0.0,  0.0, 955.3, 803.3, 908.7, 764.1,  6.823,  8.642, 15.867, 16.735
HD 60292 b                    ,  6.500,       ,    495.4,0.270, 83.5,  0.0,  0.0,1255.8,1056.0, 952.1, 800.6, 12.650, 16.023, 29.844, 31.478
HD 60532 b                    ,  1.060,       ,    201.9,0.260,356.3,  0.0,  0.0, 760.4, 639.5, 582.8, 490.0,  2.191,  2.775,  4.842,  5.107
HD 60532 c                    ,  2.510,       ,    600.1,0.030,179.8,  0.0,  0.0, 460.8, 387.5, 447.1, 376.0,  2.191,  2.775,  4.842,  5.107
HD 62509 b                    ,  2.300,       ,    589.6,0.020,354.6,  0.0,  0.0, 652.5, 548.7, 639.6, 537.8,  4.898,  6.204, 11.252, 11.868
HD 63433 b                    ,       ,  0.192,      7.1,0.000, 90.0,  0.0,  0.0,1150.8, 967.7,1150.8, 967.7,  0.657,  0.832,  1.473,  1.553
HD 63433 c                    ,       ,  0.238,     20.5,0.000, 90.0,  0.0,  0.0, 808.2, 679.6, 808.2, 679.6,  0.657,  0.832,  1.473,  1.553
HD 63454 b                    ,  0.250,       ,      2.8,0.000, 90.0,  0.0,  0.0,1210.5,1017.9,1210.5,1017.9,  0.422,  0.535,  0.975,  1.028
HD 63765 b                    ,  0.530,       ,    358.0,0.240, 90.0, 97.5,100.0, 336.8, 283.2, 263.6, 221.7,  0.565,  0.716,  1.274,  1.344
HD 6434 b                     ,  0.490,       ,     22.0,0.170, 90.0,  0.0,  0.0,1026.9, 863.5, 864.9, 727.3,  0.839,  1.062,  1.874,  1.976
HD 65216 b                    ,  1.295,       ,    577.6,0.270,212.0, 61.1, 72.9, 318.4, 267.7, 241.4, 203.0,  0.665,  0.842,  1.493,  1.574
HD 65216 c                    ,  2.030,       ,   5370.0,0.170,123.0,  0.0,  0.0, 142.0, 119.4, 119.6, 100.6,  0.665,  0.842,  1.493,  1.574
HD 66141 b                    ,  6.000,       ,    480.5,0.070, 22.1,  0.0,  0.0,1138.4, 957.3,1061.3, 892.5, 10.603, 13.430, 25.044, 26.415
HD 66428 b                    ,  3.204,       ,   2263.1,0.493,187.0,  5.1,  7.9, 261.8, 220.2, 152.6, 128.3,  0.825,  1.044,  1.842,  1.943
HD 67087 b                    ,  3.060,       ,    352.2,0.170,285.0,  0.0,  0.0, 477.4, 401.4, 402.1, 338.1,  1.351,  1.712,  2.982,  3.145
HD 67087 c                    ,  4.850,       ,   2374.0,0.760,256.0, 10.0, 13.8, 469.6, 394.9, 173.4, 145.8,  1.351,  1.712,  2.982,  3.145
HD 6718 b                     ,  1.680,       ,   2496.0,0.100, 90.0,  0.0,  0.0, 181.4, 152.5, 164.1, 138.0,  0.718,  0.909,  1.603,  1.690
HD 68402 b                    ,  3.070,       ,   1103.0,0.030, 17.2,  0.0,  0.0, 236.9, 199.2, 229.9, 193.3,  0.803,  1.017,  1.786,  1.884
HD 68988 b                    ,  1.970,       ,      6.3,0.120, 90.0,  0.0,  0.0,1494.9,1257.1,1325.1,1114.3,  0.933,  1.182,  2.076,  2.189
HD 69830 b                    ,  0.032,       ,      8.7,0.100,340.0,  0.0,  0.0,1097.9, 923.2, 993.1, 835.1,  0.596,  0.755,  1.347,  1.421
HD 69830 c                    ,  0.037,       ,     31.6,0.130,221.0,  0.0,  0.0, 725.5, 610.0, 636.6, 535.3,  0.596,  0.755,  1.347,  1.421
HD 69830 d                    ,  0.057,       ,    197.0,0.070,224.0,  0.0, 79.5, 381.3, 320.6, 355.4, 298.9,  0.596,  0.755,  1.347,  1.421
HD 70573 b                    ,  6.100,       ,    851.8,0.400,269.6, 21.7, 24.7, 293.2, 246.5, 191.9, 161.4,  0.622,  0.788,  1.392,  1.468
HD 70642 b                    ,  1.993,       ,   2124.5,0.175,272.8,  0.0,  0.0, 196.6, 165.4, 164.8, 138.6,  0.726,  0.920,  1.624,  1.713
HD 7199 b                     ,  0.270,       ,    615.0,0.190, 90.0, 56.7, 69.5, 289.0, 243.0, 238.4, 200.5,  0.644,  0.816,  1.457,  1.537
HD 72490 b                    ,  1.768,       ,    858.0,0.124,145.0,  0.0,  0.0, 491.0, 412.8, 433.4, 364.5,  2.843,  3.601,  6.534,  6.891
HD 72659 b                    ,  3.850,       ,   3658.0,0.220, 90.0,  0.0,  0.0, 213.5, 179.5, 170.7, 143.6,  1.145,  1.450,  2.547,  2.686
HD 72892 b                    ,  5.450,       ,     39.5,0.423,344.4,  0.0,  0.0, 993.3, 835.3, 632.5, 531.9,  0.893,  1.131,  1.999,  2.108
HD 73267 b                    ,  3.097,       ,   1245.4,0.230,231.8,  0.0,  0.0, 227.1, 190.9, 179.6, 151.1,  0.607,  0.769,  1.373,  1.448
HD 73526 b                    ,  3.080,       ,    188.3,0.190, 90.0,  0.0,  0.0, 547.4, 460.3, 451.7, 379.8,  1.091,  1.382,  2.448,  2.583
HD 73526 c                    ,  2.250,       ,    379.1,0.280,272.0,  0.0, 51.9, 461.3, 387.9, 346.0, 290.9,  1.091,  1.382,  2.448,  2.583
HD 73534 b                    ,  1.112,       ,   1750.0,0.126,168.0,100.0,100.0, 280.1, 235.6, 246.8, 207.5,  1.470,  1.862,  3.380,  3.565
HD 7449 b                     ,  0.508,       ,   1255.5,0.920, 69.9,  6.6,  9.2, 768.5, 646.2, 156.9, 131.9,  0.758,  0.960,  1.682,  1.774
HD 75289 b                    ,  0.490,       ,      3.5,0.030, 90.0,  0.0,  0.0,1766.2,1485.2,1714.0,1441.3,  1.014,  1.284,  2.246,  2.369
HD 75784 b                    ,  1.000,       ,    341.2,0.097,350.0,  0.0,  0.0, 533.0, 448.2, 483.6, 406.7,  1.902,  2.409,  4.383,  4.623
HD 75784 c                    ,  5.640,       ,   7900.0,0.489,325.0,  3.5,  6.7, 248.4, 208.8, 145.5, 122.3,  1.902,  2.409,  4.383,  4.623
HD 75898 b                    ,  2.710,       ,    422.9,0.110,241.1,  0.0, 35.3, 419.3, 352.6, 375.4, 315.7,  1.260,  1.596,  2.802,  2.955
HD 76700 b                    ,  0.210,       ,      4.0,0.090, 90.0,  0.0,  0.0,1775.7,1493.2,1622.5,1364.3,  0.989,  1.253,  2.218,  2.339
HD 76920 b                    ,  3.930,       ,    415.4,0.856,352.9,  0.0,  0.0,1802.1,1515.4, 502.0, 422.1,  3.888,  4.924,  9.025,  9.519
HD 77338 b                    ,  0.060,       ,      5.7,0.090, 90.0,  0.0,  0.0,1290.7,1085.4,1179.4, 991.7,  0.638,  0.808,  1.444,  1.524
HD 7924 b                     ,  0.020,       ,      5.4,0.060, 90.0,  0.0,  0.0,1094.1, 920.0,1030.3, 866.3,  0.479,  0.607,  1.092,  1.152
HD 7924 c                     ,  0.025,       ,     15.3,0.098, 27.0,  0.0,  0.0, 812.4, 683.1, 736.3, 619.2,  0.479,  0.607,  1.092,  1.152
HD 7924 d                     ,  0.020,       ,     24.5,0.210,119.0,  0.0,  0.0, 742.3, 624.2, 599.8, 504.3,  0.479,  0.607,  1.092,  1.152
HD 79498 b                    ,  1.340,       ,   1807.0,0.575,226.8, 11.7, 13.1, 299.5, 251.8, 155.6, 130.8,  0.778,  0.986,  1.740,  1.835
HD 80606 b                    ,  4.380,  1.070,    111.4,0.930, 90.0,  0.0, 54.1,1783.6,1499.8, 339.7, 285.6,  0.733,  0.928,  1.646,  1.737
HD 81040 b                    ,  7.270,       ,   1001.7,0.530, 90.0, 21.1, 23.3, 329.6, 277.2, 182.7, 153.6,  0.679,  0.860,  1.517,  1.600
HD 81688 b                    ,  2.700,       ,    184.0,0.000,  0.0,  0.0,  0.0,1071.9, 901.3,1071.9, 901.3,  6.718,  8.509, 15.557, 16.409
HD 81817 b                    , 27.100,       ,   1047.1,0.170,320.0,  0.0,  0.0,1307.9,1099.8,1101.6, 926.3, 34.525, 43.731, 82.276, 86.781
HD 82886 b                    ,  2.330,       ,    705.0,0.070, 90.0,  0.0,  0.0, 537.3, 451.8, 500.9, 421.2,  3.035,  3.845,  6.971,  7.352
HD 82943 b                    ,  1.681,       ,    441.5,0.162,300.9, 71.7,100.0, 357.9, 301.0, 303.9, 255.6,  0.856,  1.084,  1.901,  2.005
HD 82943 c                    ,  1.959,       ,    220.1,0.366,117.2,  0.0, 47.1, 519.2, 436.6, 353.6, 297.3,  0.856,  1.084,  1.901,  2.005
HD 83443 b                    ,  0.340,       ,      3.0,0.010, 90.0,  0.0,  0.0,1520.2,1278.3,1505.1,1265.6,  0.638,  0.809,  1.440,  1.519
HD 8535 b                     ,  0.680,       ,   1313.0,0.150, 61.0, 20.9, 32.5, 265.9, 223.6, 228.6, 192.3,  0.986,  1.249,  2.183,  2.303
HD 85390 b                    ,  0.099,       ,    799.5,0.500,250.0, 25.4, 33.1, 340.4, 286.2, 196.5, 165.3,  0.563,  0.713,  1.281,  1.351
HD 85512 b                    ,  0.010,       ,     58.4,0.110, 90.0,  0.0,  0.0, 431.9, 363.2, 386.7, 325.2,  0.317,  0.401,  0.749,  0.790
HD 8574 b                     ,  2.030,       ,    227.0,0.300, 90.0,  0.0,  0.0, 560.0, 470.9, 410.9, 345.5,  1.121,  1.420,  2.488,  2.624
HD 86081 b                    ,  1.480,       ,      2.1,0.012,  3.0,  0.0,  0.0,2229.4,1874.7,2203.0,1852.5,  1.151,  1.458,  2.561,  2.701
HD 86226 b                    ,  0.450,       ,   1628.0,0.059,225.0,  0.0,  0.0, 215.4, 181.1, 203.0, 170.7,  0.811,  1.027,  1.808,  1.907
HD 86226 c                    ,  0.023,  0.193,      4.0,0.075,196.0,  0.0,  0.0,1621.7,1363.7,1504.3,1264.9,  0.811,  1.027,  1.808,  1.907
HD 86264 b                    ,  7.000,       ,   1475.0,0.700,306.0, 22.8, 31.8, 522.9, 439.7, 219.6, 184.7,  1.563,  1.980,  3.457,  3.646
HD 8673 b                     , 14.200,       ,   1634.0,0.723,323.4, 13.6, 19.0, 478.3, 402.2, 191.8, 161.3,  1.256,  1.590,  2.764,  2.916
HD 86950 b                    ,  3.600,       ,   1270.0,0.170,243.0,  0.0,  0.0, 541.1, 455.0, 455.8, 383.3,  4.762,  6.031, 11.003, 11.605
HD 87646 b                    , 12.400,       ,     13.5,0.050,298.0,  0.0,  0.0,1235.4,1038.9,1175.1, 988.2,  1.161,  1.471,  2.594,  2.736
HD 87883 b                    ,  1.540,       ,   2754.0,0.530, 90.0,  0.0,  0.0, 193.1, 162.4, 107.0,  90.0,  0.450,  0.570,  1.034,  1.091
HD 88133 b                    ,  0.285,       ,      3.4,0.031, 43.0,  0.0,  0.0,2128.4,1789.8,2063.4,1735.1,  1.471,  1.863,  3.324,  3.506
HD 89307 b                    ,  2.110,       ,   2166.0,0.200, 90.0,  0.0,  0.0, 221.4, 186.2, 180.8, 152.0,  0.868,  1.099,  1.930,  2.035
HD 89345 b                    ,  0.110,  0.660,     11.8,0.220,347.0,  0.0,  0.0,1467.1,1233.7,1173.1, 986.4,  1.239,  1.569,  2.783,  2.935
HD 89744 b                    ,  8.350,       ,    256.8,0.677,193.7,  0.0,  0.0, 956.3, 804.1, 419.7, 352.9,  1.796,  2.275,  3.966,  4.183
HD 90156 b                    ,  0.057,       ,     49.8,0.310,113.0,  0.0,  0.0, 734.5, 617.6, 533.1, 448.2,  0.643,  0.815,  1.444,  1.523
HD 9174 b                     ,  1.110,       ,   1179.0,0.120,102.0,100.0,100.0, 296.6, 249.4, 262.9, 221.1,  1.179,  1.493,  2.648,  2.793
HD 92788 b                    ,  3.760,       ,    325.8,0.350,277.8, 50.7, 72.1, 442.8, 372.4, 307.3, 258.4,  0.848,  1.073,  1.895,  1.999
HD 92788 c                    ,  3.670,       ,  11611.3,0.460,334.3,  0.0,  0.0, 147.7, 124.2,  89.8,  75.5,  0.848,  1.073,  1.895,  1.999
HD 92987 b                    , 16.880,       ,  10354.8,0.210,195.1,  0.0,  0.0, 150.8, 126.8, 121.9, 102.5,  1.183,  1.499,  2.644,  2.789
HD 93083 b                    ,  0.370,       ,    143.6,0.140,333.5,  0.0, 42.1, 413.9, 348.0, 359.5, 302.3,  0.502,  0.636,  1.150,  1.213
HD 9446 b                     ,  0.700,       ,     30.1,0.200,215.0,  0.0,  0.0, 872.2, 733.4, 712.1, 598.8,  0.786,  0.996,  1.755,  1.851
HD 9446 c                     ,  1.820,       ,    192.9,0.060,100.0,  0.0,  0.0, 432.5, 363.7, 407.3, 342.5,  0.786,  0.996,  1.755,  1.851
HD 94834 b                    ,  1.260,       ,   1576.0,0.140, 38.0, 40.3,100.0, 367.3, 308.8, 319.0, 268.2,  2.290,  2.901,  5.293,  5.583
HD 95089 b                    ,  1.260,       ,    464.4,0.119,301.0,  0.0,  0.0, 580.6, 488.2, 515.2, 433.2,  2.895,  3.667,  6.658,  7.022
HD 95089 c                    ,  3.450,       ,   1785.0,0.284, 66.0, 46.9, 73.3, 411.6, 346.1, 307.4, 258.5,  2.895,  3.667,  6.658,  7.022
HD 95127 b                    , 10.630,       ,    482.0,0.110, 90.0,  0.0,  0.0,1451.0,1220.2,1299.3,1092.6, 17.637, 22.341, 41.872, 44.164
HD 95338 b                    ,  0.134,  0.347,     55.1,0.197, 23.4,  0.0,  0.0, 604.1, 508.0, 494.8, 416.1,  0.542,  0.687,  1.233,  1.301
HD 95872 b                    ,  3.740,       ,   4375.0,0.060, 90.0,  0.0,  0.0, 126.9, 106.7, 119.5, 100.5,  0.547,  0.693,  1.240,  1.308
HD 96063 b                    ,  1.270,       ,    362.5,0.170,271.0,  0.0,  0.0, 653.5, 549.6, 550.5, 462.9,  2.807,  3.555,  6.428,  6.780
HD 96127 b                    , 20.960,       ,    647.3,0.300, 90.0,  0.0,  0.0,1621.0,1363.1,1189.5,1000.2, 19.331, 24.486, 46.521, 49.069
HD 96167 b                    ,  0.717,       ,    498.0,0.685,290.1, 50.5, 67.9, 706.8, 594.4, 305.6, 257.0,  1.438,  1.821,  3.215,  3.391
HD 96992 b                    ,  1.140,       ,    514.0,0.410,149.0,  0.0,  0.0, 902.6, 759.0, 583.9, 491.0,  4.307,  5.456,  9.988, 10.535
HD 97658 b                    ,  0.028,  0.210,      9.5,0.060, 90.0,  0.0,  0.0, 906.3, 762.1, 853.4, 717.7,  0.461,  0.584,  1.050,  1.107
HD 98219 b                    ,  1.964,       ,    433.8,0.079,360.0,  0.0,  0.0, 562.2, 472.8, 519.4, 436.8,  2.628,  3.329,  6.042,  6.373
HD 98649 b                    ,  6.790,       ,   6023.0,0.860,252.6,  2.6,  3.3, 347.9, 292.5,  95.4,  80.3,  0.761,  0.964,  1.699,  1.792
HD 98736 b                    ,  2.330,       ,    968.8,0.226,162.0,  0.0,  0.0, 243.0, 204.3, 193.0, 162.3,  0.600,  0.760,  1.361,  1.435
HD 99109 b                    ,  0.440,       ,    439.3,0.090, 90.0,100.0,100.0, 298.3, 250.8, 272.6, 229.2,  0.633,  0.801,  1.435,  1.513
HD 99492 b                    ,  0.070,       ,     17.0,0.250, 90.0,  0.0,  0.0, 838.4, 705.0, 649.4, 546.1,  0.455,  0.577,  1.052,  1.110
HD 99706 b                    ,  1.230,       ,    841.0,0.250, 50.0,  0.0,  0.0, 537.5, 452.0, 416.3, 350.1,  3.082,  3.904,  7.105,  7.494
HD 99706 c                    ,  5.690,       ,   1278.0,0.411,136.0,  0.0, 47.5, 527.8, 443.8, 341.0, 286.7,  3.082,  3.904,  7.105,  7.494
HIP 105854 b                  ,  8.200,       ,    184.2,0.020,343.2,  0.0,  0.0, 972.2, 817.6, 953.0, 801.4,  5.410,  6.853, 12.515, 13.200
HIP 107773 b                  ,  1.980,       ,    144.3,0.090,166.0,  0.0,  0.0,1200.7,1009.7,1097.1, 922.6,  6.761,  8.564, 15.533, 16.384
HIP 109384 b                  ,  1.560,       ,    499.5,0.549,104.5, 26.6, 38.2, 392.0, 329.6, 211.5, 177.8,  0.556,  0.704,  1.266,  1.335
HIP 109600 b                  ,  2.680,       ,    232.1,0.163,228.7, 14.3, 73.3, 395.5, 332.6, 335.5, 282.1,  0.641,  0.813,  1.443,  1.522
HIP 116454 b                  ,  0.040,  0.220,      9.1,0.200, 90.0,  0.0,  0.0, 980.9, 824.9, 800.9, 673.5,  0.436,  0.552,  0.995,  1.050
HIP 12961 b                   ,  0.360,       ,     57.4,0.170, 90.0,  0.0, 62.1, 395.9, 332.9, 333.4, 280.4,  0.241,  0.305,  0.581,  0.613
HIP 14810 b                   ,  3.900,       ,      6.7,0.144,158.8,  0.0,  0.0,1349.2,1134.6,1167.1, 981.4,  0.752,  0.953,  1.691,  1.784
HIP 14810 c                   ,  1.310,       ,    147.7,0.157,331.1,  0.0,  0.0, 484.0, 407.0, 413.3, 347.5,  0.752,  0.953,  1.691,  1.784
HIP 14810 d                   ,  0.590,       ,    981.8,0.185,247.0, 21.5, 30.3, 261.9, 220.2, 217.2, 182.6,  0.752,  0.953,  1.691,  1.784
HIP 41378 b                   ,       ,       ,     15.6,0.000, 90.0,  0.0,  0.0,1152.3, 969.0,1152.3, 969.0,  1.137,  1.440,  2.513,  2.651
HIP 41378 c                   ,       ,       ,     31.7,0.000, 90.0,  0.0,  0.0, 909.2, 764.5, 909.2, 764.5,  1.137,  1.440,  2.513,  2.651
HIP 41378 d                   ,       ,       ,   1114.0,0.000, 90.0,100.0,100.0, 277.6, 233.4, 277.6, 233.4,  1.137,  1.440,  2.513,  2.651
HIP 41378 f                   ,       ,       ,   1084.0,0.000, 90.0,100.0,100.0, 280.1, 235.6, 280.1, 235.6,  1.137,  1.440,  2.513,  2.651
HIP 5158 b                    ,  1.420,       ,    345.7,0.520,252.0, 15.3, 17.3, 291.8, 245.4, 164.0, 137.9,  0.260,  0.329,  0.597,  0.630
HIP 5158 c                    , 15.040,       ,   9017.8,0.140,142.1,  0.0,  0.0,  74.1,  62.3,  64.4,  54.1,  0.260,  0.329,  0.597,  0.630
HIP 57274 b                   ,  0.020,       ,      8.1,0.190, 90.0,  0.0,  0.0, 959.1, 806.5, 791.3, 665.4,  0.380,  0.481,  0.890,  0.938
HIP 57274 c                   ,  0.409,       ,     32.0,0.050,356.2,  0.0,  0.0, 555.4, 467.0, 528.3, 444.2,  0.380,  0.481,  0.890,  0.938
HIP 57274 d                   ,  0.527,       ,    431.7,0.270,187.2, 27.7, 33.3, 266.0, 223.7, 201.6, 169.6,  0.380,  0.481,  0.890,  0.938
HIP 63242 b                   ,  9.180,       ,    124.6,0.230,118.2,  0.0,  0.0,1283.4,1079.2,1015.4, 853.9,  5.156,  6.530, 11.901, 12.552
HIP 65407 b                   ,  0.428,       ,     28.1,0.140, 50.0,  0.0,  0.0, 773.3, 650.3, 671.7, 564.8,  0.634,  0.804,  1.430,  1.509
HIP 65407 c                   ,  0.784,       ,     67.3,0.120,341.0,  0.0,  0.0, 572.1, 481.1, 507.2, 426.5,  0.634,  0.804,  1.430,  1.509
HIP 65891 b                   ,  6.000,       ,   1084.5,0.130,355.5,  0.0,  0.0, 547.7, 460.5, 480.5, 404.1,  5.235,  6.631, 12.000, 12.657
HIP 65 A b                    ,  3.213,  2.030,      1.0,0.000, 90.0,  0.0,  0.0,1679.5,1412.3,1679.5,1412.3,  0.365,  0.463,  0.852,  0.899
HIP 67522 b                   ,       ,  0.898,      7.0,0.059,343.0,  0.0,  0.0,1422.5,1196.1,1340.9,1127.5,  0.999,  1.265,  2.237,  2.360
HIP 67537 b                   , 11.100,       ,   2556.5,0.590,119.6, 49.1, 67.3, 592.2, 498.0, 300.7, 252.9,  5.043,  6.388, 11.568, 12.201
HIP 67851 b                   ,  1.380,       ,     88.9,0.050,138.1,  0.0,  0.0,1025.4, 862.2, 975.3, 820.2,  3.297,  4.176,  7.592,  8.007
HIP 67851 c                   ,  5.980,       ,   2131.8,0.170,166.5, 36.1, 83.1, 380.7, 320.1, 320.6, 269.6,  3.297,  4.176,  7.592,  8.007
HIP 74890 b                   ,  2.400,       ,    822.3,0.070,181.9,  0.0,  0.0, 477.0, 401.1, 444.7, 374.0,  3.195,  4.046,  7.368,  7.771
HIP 79431 b                   ,  2.100,       ,    111.7,0.290,287.4, 38.1, 44.1, 272.6, 229.3, 202.3, 170.1,  0.142,  0.180,  0.351,  0.371
